TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Nertera depressa Banks & Sol. ex Gaertn.,Nertera depressa Banks & Sol. ex Gaertn.,Spermatophyta,Dicotyledonae,Rubiaceae,Nertera,depressa,NA,NERDEP,Not applicable,High,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,9,4,,No,No,,No,Widespread,Hermaphrodite,4,4,,6,No viability data,10 - 100,2.1,,1
Oxalis articulata Savigny,Oxalis articulata Savigny,Spermatophyta,Dicotyledonae,Oxalidaceae,Oxalis,articulata,NA,OXAART,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Oxaliform perennials",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,50,15,,No,No,,No,,Hermaphrodite,11,,,,No data available,No data available,,0,0
Oxalis exilis A.Cunn.,Oxalis exilis A.Cunn.,Spermatophyta,Dicotyledonae,Oxalidaceae,Oxalis,exilis,NA,OXAEXI,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,27,6,,No,No,,,Widespread,Hermaphrodite,12,,,12,No viability data,10 - 100,1.1,,
Pilosella officinarum Vaill.,Hieracium pilosella L.,Spermatophyta,Dicotyledonae,Asteraceae,Pilosella,officinarum,NA,PILOFF,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,38,10,,No,No,Yes,No,Widespread,,5,,,5,Seed produced,,2,0.5,0
Plantago raoulii Decne.,Plantago raoulii Decne.,Spermatophyta,Dicotyledonae,Plantaginaceae,Plantago,raoulii,NA,PLARAO,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,Deciduous,Broad leaved,100,35,,No,No,,No,Scattered,Hermaphrodite,6,3,,,No viability data,1-Oct,2,,
Pneumatopteris pennigera (G.Forst.) Holttum,Pneumatopteris pennigera (G.Forst.) Holttum,Pteridophyta,Pteridopsida,Thelypteridaceae,Pneumatopteris,pennigera,NA,PNEPEN,Not applicable,High,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,1050,250,,,,,,Widespread,Not applicable,,,,,Seed produced,"> 10,000",,,
Poa anceps G.Forst.,Poa anceps G.Forst.,Spermatophyta,Monocotyledonae,Poaceae,Poa,anceps,NA,POAANC,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,170,3,,,,,,Widespread,,,,,,Seed produced,,1.8,0.5,0
Poa matthewsii Petrie,Poa matthewsii Petrie,Spermatophyta,Monocotyledonae,Poaceae,Poa,matthewsii,NA,POAMAT,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,130,2,,,,,,Widespread,,,,,,Seed produced,,1,0.3,
Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridophyta,Pteridopsida,Dennstaedtiaceae,Pteridium,esculentum,NA,PTEESC,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,1700,850,,No,No,No,,Widespread,Not applicable,,,,,Seed produced,"> 10,000",,,
Ranunculus repens L.,Ranunculus repens L.,Spermatophyta,Dicotyledonae,Ranunculaceae,Ranunculus,repens,NA,RANREP,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,130,40,,No,No data available,Yes,No,Widespread,Hermaphrodite,5,,,,High viability,"100 - 1,000",2.5,2.3,1
Rytidosperma clavatum (Zotov) Connor & Edgar,Rytidosperma clavatum (Zotov) Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,clavatum,NA,RYTCLA,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,300,4,,,,,,Widespread,,,,,,Seed produced,,2.1,1,0
Rytidosperma corinum Connor & Edgar,Rytidosperma corinum Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,corinum,NA,RYTCOR,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Rolled,150,,,,,,,Scattered,,,,,,Seed produced,,1.6,0.7,0
Rytidosperma merum Connor & Edgar,Rytidosperma merum Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,merum,NA,RYTMER,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,250,,,,,,,Scattered,,,,,,Seed produced,,2.1,1.1,
Rytidosperma pilosum (R.Br.) Connor & Edgar,Rytidosperma pilosum (R.Br.) Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,pilosum,NA,RYTPIL,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved,170,,,,,,,Widespread,,,,,,Seed produced,,1.6,0.9,
Rytidosperma racemosum (R.Br.) Connor & Edgar,Rytidosperma racemosum (R.Br.) Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,racemosum,NA,RYTRAC,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,250,2,,,,,,Widespread,,,,,,Seed produced,,1.9,0.9,
Rytidosperma thomsonii (Buchanan) Connor & Edgar,Rytidosperma thomsonii (Buchanan) Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,thomsonii,NA,RYTTHO,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Rolled,150,,,,,,,Scattered,,,,,,Seed produced,,1.2,0.6,
Schedonorus arundinaceus (Schreb.) Dumort.,Schedonorus phoenix (Scop.) Holub,Spermatophyta,Monocotyledonae,Poaceae,Schedonorus,arundinaceus,NA,SCHARU,,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,1000,10,,No,Yes,Yes,No,Widespread,Monoecious,,,,,No viability data,"1,000 - 10,000",3,1,
Selliera radicans Cav.,Selliera radicans Cav.,Spermatophyta,Dicotyledonae,Goodeniaceae,Selliera,radicans,NA,SELRAD,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,15,,,No,No,,No,Widespread,Hermaphrodite,6,10,,6,No viability data,"100 - 1,000",,,
Solenogyne dominii L.G.Adams,Solenogyne dominii L.G.Adams,Spermatophyta,Dicotyledonae,Asteraceae,Solenogyne,dominii,NA,SOLDOM,1970 - 1990,,,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,28,12,,,,,,,,7,2,,,Seed produced,,,,
Sporobolus africanus (Poir.) A.Robyns & Tournay,Sporobolus africanus (Poir.) A.Robyns & Tournay,Spermatophyta,Monocotyledonae,Poaceae,Sporobolus,africanus,NA,SPOAFR,1840 - 1870,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved,300,1,,,,,,Locally common,,,,,,No viability data,,1,0.6,
Stackhousia minima Hook.f.,Stackhousia minima Hook.f.,Spermatophyta,Dicotyledonae,Stackhousiaceae,Stackhousia,minima,NA,STAMIN,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,13,2,,No,No,,No,Scattered,Hermaphrodite,2,3,,3,No viability data,10 - 100,2.5,,2
Trifolium fragiferum L.,Trifolium fragiferum L.,Spermatophyta,Dicotyledonae,Fabaceae,Trifolium,fragiferum,NA,TRIFRA,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,113,,,No,No,Yes,Yes,Locally common,Hermaphrodite,7,3,,,No viability data,,1.75,,1
Callitriche stagnalis Scop.,Callitriche stagnalis Scop.,Spermatophyta,Dicotyledonae,Callitrichaceae,Callitriche,stagnalis,NA,CALSTA,1870 - 1900,Moderate,Hydrophyte,Hydrophyte,"Water plants, Emergent",Present in NZ (wild - naturalised exotic),0.3,Evergreen,Broad leaved,7,3,,No,No,,No,Widespread,Monoecious,3,2,,3,No viability data,"100 - 1,000",1.5,,0
Leucopogon fraseri A.Cunn.,Leucopogon fraseri A.Cunn.,Spermatophyta,Dicotyledonae,Ericaceae,Leucopogon,fraseri,NA,LEUFRA,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Prostrate shrubs","Present in NZ (wild - endemic NZ native, extant)",0.08,Evergreen,Broad leaved,6,2,,No,No,No,No,Widespread,Hermaphrodite,5,8,,5,Seed produced,"100 - 1,000",3.3,2.4,9
Matricaria discoidea DC.,Matricaria discoidea DC.,Spermatophyta,Dicotyledonae,Asteraceae,Matricaria,discoidea,NA,MATDIS,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.13,Deciduous,Broad leaved,50,13,,No,No,,No,Widespread,Hermaphrodite,8,2,,,No viability data,,,,
Prumnopitys taxifolia (D.Don) de Laub.,Prumnopitys taxifolia (D.Don) de Laub.,Spermatophyta,Dicotyledonae,Podocarpaceae,Prumnopitys,taxifolia,NA,PRUTAX,Not applicable,Low,Phanerophyte,Phanerophyte,"Annuals, Form - erect, Phenology - spring-flush/ow","Present in NZ (wild - endemic NZ native, extant)",0.15,Evergreen,Broad leaved,13,2,,No,No,No data available,No,Widespread,,,10,10,6,No viability data,"1,000 - 10,000",7,5,109
Vinca major L.,Vinca major L.,Spermatophyta,Dicotyledonae,Apocynaceae,Vinca,major,NA,VINMAJ,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Prostrate shrubs",Present in NZ (wild - naturalised exotic),0.2,Evergreen,Broad leaved,84,48,,No,No,Yes,No,Widespread,,12,,,,No viability data,,7.5,,
Foeniculum vulgare Mill.,Foeniculum vulgare Mill.,Spermatophyta,Dicotyledonae,Apiaceae,Foeniculum,vulgare,NA,FOEVUL,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.25,Deciduous,Broad leaved,,,,No,No,Yes,No,Widespread,,7,5,,,No viability data,"1,000 - 10,000",4.5,,3
Melicytus alpinus (Kirk) Garn.-Jones,Melicytus alpinus (Kirk) Garn.-Jones,Spermatophyta,Dicotyledonae,Violaceae,Melicytus,alpinus,NA,MELALP,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",0.45,,Broad leaved,10,,,,,,,Locally common,,,5,,5,Seed produced,,4.1,,10
Centranthus ruber (L.) DC.,Centranthus ruber (L.) DC.,Spermatophyta,Dicotyledonae,Valerianaceae,Centranthus,ruber,NA,CENRUB,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.55,Evergreen,Broad leaved,65,20,,No,No,No data available,No,Widespread,Hermaphrodite,8,4,,,No viability data,"1,000 - 10,000",,,
Hypericum androsaemum L.,Hypericum androsaemum L.,Spermatophyta,Dicotyledonae,Clusiaceae,Hypericum,androsaemum,NA,HYPAND,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),0.7,Semi-evergreen,Broad leaved,7,4,,No,Yes,,No,Widespread,Hermaphrodite,4,10,10,,No viability data,"> 10,000",10,,0
Sophora prostrata Buchanan,Sophora prostrata Buchanan,Spermatophyta,Dicotyledonae,Fabaceae,Sophora,prostrata,NA,SOPPRO,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Prostrate shrubs","Present in NZ (wild - endemic NZ native, extant)",0.7,,Broad leaved,25,9,,,,,,,,3,30,,,Seed produced,,6.8,,70
Mycelis muralis (L.) Dumort.,Mycelis muralis (L.) Dumort.,Spermatophyta,Dicotyledonae,Asteraceae,Mycelis,muralis,NA,MYCMUR,,,Phanerophyte,Phanerophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.75,Evergreen,Broad leaved,135,65,,,,,,Widespread,,4,4,,4,No viability data,,,,0
Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,Spermatophyta,Dicotyledonae,Asteraceae,Leucanthemum,vulgare,NA,LEUVUL,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.8,Semi-evergreen,Broad leaved,120,20,,No,No,Yes,No,Widespread,Hermaphrodite,10,3,,,No viability data,"100 - 1,000",2.5,,0
Coprosma rhamnoides A.Cunn.,Coprosma rhamnoides A.Cunn.,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,rhamnoides,NA,COPRHA,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",1,Evergreen,Broad leaved,10,9,,No,No,Yes,No,Widespread,Dioecious,2,4,3,10,Seed produced,"100 - 1,000",,,6
Phormium cookianum Le Jol.,Phormium cookianum Le Jol.,Spermatophyta,Monocotyledonae,Phormiaceae,Phormium,cookianum,NA,PHOCOO,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Herbaceous perennials, Iridoform perennials","Present in NZ (wild - endemic NZ native, extant)",1,Evergreen,Grass leaved - Flat,1000,50,,No,No,Yes,No,Widespread,Hermaphrodite,3,100,,3,No viability data,"100 - 1,000",9,,4
Ribes uva-crispa L.,Ribes uva-crispa L.,Spermatophyta,Dicotyledonae,Grossulariaceae,Ribes,uva-crispa,NA,RIBUVA,1870 - 1900,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),1,Deciduous,Broad leaved,70,50,,Yes,,,,Scattered,Dioecious,4,,18,4,Seed produced,,,,7
Ulex europaeus L.,Ulex europaeus L.,Spermatophyta,Dicotyledonae,Fabaceae,Ulex,europaeus,NA,ULEEUR,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Present in NZ (wild - naturalised exotic),1.3,Evergreen,Broad leaved,30,3,3,Yes,No,No,Yes,Widespread,Hermaphrodite,7,19,,12,High viability,"1,000 - 10,000",3.3,2,6
Brassica oleracea L.,Brassica oleracea L.,Spermatophyta,Dicotyledonae,Brassicaceae,Brassica,oleracea,NA,BRAOLE,Pre-1840,,Phanerophyte,Phanerophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),1.5,,Broad leaved,200,100,,,Yes,Yes,,Locally common,,,,,,No viability data,No data available,55,3.5,3
Coprosma crassifolia Colenso,Coprosma crassifolia Colenso,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,crassifolia,NA,COPCRA,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",1.5,Evergreen,Broad leaved,10,5,,No,No,Yes,No,Widespread,Dioecious,,6,6,,No viability data,"1,000 - 10,000",4.6,3.4,10
Echium candicans L.f.,Echium candicans L.f.,Spermatophyta,Dicotyledonae,Boraginaceae,Echium,candicans,NA,ECHCAN,1940 - 1970,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),1.5,Evergreen,Broad leaved,200,55,,No,No,No data available,No,Scattered,,6,3,,,No viability data,"1,000 - 10,000",2.5,2.5,
Phytolacca octandra L.,Phytolacca octandra L.,Spermatophyta,Dicotyledonae,Phytolaccaceae,Phytolacca,octandra,NA,PHYOCT,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),1.5,Semi-evergreen,Broad leaved,10,40,,No,Yes,No data available,No,Widespread,Dioecious,,8,8,,Seed produced,"> 10,000",2.25,2.25,
Ribes sanguineum Pursh,Ribes sanguineum Pursh,Spermatophyta,Dicotyledonae,Grossulariaceae,Ribes,sanguineum,NA,RIBSAN,1900 - 1940,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),1.5,Deciduous,Broad leaved,60,70,,,,,,Locally common,Dioecious,,,6,,,,,,
Salix cinerea L.,Salix cinerea L.,Spermatophyta,Dicotyledonae,Salicaceae,Salix,cinerea,NA,SALCIN,1900 - 1940,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)",Present in NZ (wild - naturalised exotic),1.5,Deciduous,Broad leaved,55,25,,No,No,,No,Widespread,Dioecious,2,,,,No viability data,,1.1,,0
Genista monspessulana (L.) L.A.S.Johnson,Teline monspessulana (L.) K.Koch,Spermatophyta,Dicotyledonae,Fabaceae,Genista,monspessulana,NA,TELMON,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),1.8,Evergreen,Broad leaved,14,7,,No,No,Yes,Yes,Locally common,Hermaphrodite,7,19,,,No viability data,"1,000 - 10,000",2.5,2.5,
Urtica ferox G.Forst.,Urtica ferox G.Forst.,Spermatophyta,Dicotyledonae,Urticaceae,Urtica,ferox,NA,URTFER,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",1.8,Evergreen,Broad leaved,100,40,,Yes,Yes,No,No,Widespread,Dioecious,5,,,6,Seed produced,,1.1,,0
Conyza sumatrensis (Retz.) E.H.Walker,Conyza albida Spreng.,Spermatophyta,Dicotyledonae,Asteraceae,Conyza,sumatrensis,NA,CONSUM,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),2,Deciduous,Broad leaved,78,12,,No,No,Yes,No,Widespread,Hermaphrodite,5,1,,,No viability data,,,,
Coprosma rigida Cheeseman,Coprosma rigida Cheeseman,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,rigida,NA,COPRIG,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",2,Evergreen,Broad leaved,15,6,,,No,,,Widespread,Dioecious,,5,,,Seed produced,,4.1,2.3,6
Coprosma rubra Petrie,Coprosma rubra Petrie,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,rubra,NA,COPRUB,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - endemic NZ native, extant)",2,,Broad leaved,13,11,,No,No,,,,Dioecious,,5,,4,Seed produced,,4.1,2.3,0
Coprosma virescens Petrie,Coprosma virescens Petrie,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,virescens,NA,COPVIR,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - endemic NZ native, extant)",2,,Broad leaved,10,5,,No,No,,,,Dioecious,,6,,,Seed produced,,3,2.2,4
Coprosma wallii Petrie in Cheeseman,Coprosma wallii Petrie in Cheeseman,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,wallii,NA,COPWAL,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - endemic NZ native, extant)",2,,Broad leaved,7,6,,No,No,,,Locally common,,,5,3,,Seed produced,,2.8,2.5,7
Cytisus scoparius (L.) Link,Cytisus scoparius (L.) Link,Spermatophyta,Dicotyledonae,Fabaceae,Cytisus,scoparius,NA,CYTSCO,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),2,Semi-evergreen,Broad leaved,10,,2,No,No,Yes,Yes,Widespread,Hermaphrodite,8,38,,,High viability,"1,000 - 10,000",3,,8
Leycesteria formosa Wall.,Leycesteria formosa Wall.,Spermatophyta,Dicotyledonae,Caprifoliaceae,Leycesteria,formosa,NA,LEYFOR,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Present in NZ (wild - naturalised exotic),2,Evergreen,Broad leaved,93,50,,No,Yes,,No,Widespread,Hermaphrodite,6,8,7,5,High viability,"> 10,000",1.3,,1
Phormium tenax J.R.Forst. & G.Forst.,Phormium tenax J.R.Forst. & G.Forst.,Spermatophyta,Monocotyledonae,Phormiaceae,Phormium,tenax,NA,PHOTEN,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Herbaceous perennials, Iridoform perennials","Present in NZ (wild - non endemic NZ native, extant)",2,Evergreen,Grass leaved - Flat,,120,,No,No,No,No data available,Widespread,Hermaphrodite,2,100,,3,No viability data,"100 - 1,000",10,5,
Pseudowintera colorata (Raoul) Dandy,Pseudowintera colorata (Raoul) Dandy,Spermatophyta,Dicotyledonae,Winteraceae,Pseudowintera,colorata,NA,PSECOL,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",2,Evergreen,Broad leaved,47,20,,No,No,No,No,Widespread,Hermaphrodite,5,4,4,7,No viability data,"1,000 - 10,000",3.1,,4
Rosa rubiginosa L.,Rosa rubiginosa L.,Spermatophyta,Dicotyledonae,Rosaceae,Rosa,rubiginosa,NA,ROSRUB,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Present in NZ (wild - naturalised exotic),2,Deciduous,Broad leaved,,40,,Yes,No,No,No,Locally common,Hermaphrodite,3,17,14,4,Seed produced,"1,000 - 10,000",,,23
Chrysanthemoides monilifera (L.) Norl.,Chrysanthemoides monilifera (L.) Norl.,Spermatophyta,Dicotyledonae,Asteraceae,Chrysanthemoides,monilifera,NA,CHRMON,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Present in NZ (wild - naturalised exotic),2.5,Evergreen,Broad leaved,53,23,,No,No,Yes,No,Locally common,Hermaphrodite,6,8,6,,Medium viability,"> 10,000",,,
Coprosma rotundifolia A.Cunn.,Coprosma rotundifolia A.Cunn.,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,rotundifolia,NA,COPROT,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)","Present in NZ (wild - endemic NZ native, extant)",2.5,Evergreen,Broad leaved,25,17,,No,No,Yes,No,Widespread,Dioecious,2,4,3,,No viability data,"100 - 1,000",2.9,3,7
